Profile Key,Age,Fish allergy,Weight,Recommend 1,Recommend 2,Recommend 3,Recommend 4,Recommend 5,Recommend 6,Recommend 7,Recommend 8,Recommend 9,Recommend 10,Recommend 11
kitten|fishallergy|thin,kitten,fishallergy,thin,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,,,,,,,,,
kitten|fishallergy|normal,kitten,fishallergy,normal,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,,,,,,,,,
kitten|fishallergy|overweight,kitten,fishallergy,overweight,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,,,,,,,,,
kitten|thin,kitten,,thin,Real Chicken GF,Real Salmon & Potato GF,Real Chicken & Potato GF,,,,,,,,
kitten|normal,kitten,,normal,Real Chicken GF,Real Salmon & Potato GF,Real Chicken & Potato GF,,,,,,,,
kitten|overweight,kitten,,overweight,Real Chicken GF,Real Salmon & Potato GF,Real Chicken & Potato GF,,,,,,,,
adult|fishallergy|thin,adult,fishallergy,thin,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Turkey & Barley,,,,,,,,
adult|fishallergy|normal,adult,fishallergy,normal,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Turkey & Barley,,,,,,,,
adult|fishallergy|overweight,adult,fishallergy,overweight,Real Chicken & Potato GF,Real Turkey & Barley,Real Turkey & Oatmeal  ,,,,,,,,
adult|thin,adult,,thin,Real Chicken & Potato GF,Real Salmon & Potato GF,Real Chicken GF,Real Whitefish & Brown Rice ,Real Turkey & Oatmeal  ,,,,,,
adult|normal,adult,,normal,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Turkey & Barley,,,,,,,,
adult|overweight,adult,,overweight,Real Salmon & Potato GF,Real Chicken & Potato GF,Real Trout & Brown Rice,Real Turkey & Barley,Real Whitefish & Brown Rice ,,,,,,
senior|fishallergy|thin,senior,fishallergy,thin,Real Chicken & Potato GF,Real Turkey & Barley,Real Turkey & Oatmeal  ,,,,,,,,
senior|fishallergy|normal,senior,fishallergy,normal,Real Chicken & Potato GF,Real Turkey & Barley,Real Turkey & Oatmeal  ,,,,,,,,
senior|fishallergy|overweight,senior,fishallergy,overweight,Real Chicken & Potato GF,Real Turkey & Barley,Real Turkey & Oatmeal  ,,,,,,,,
senior|thin,senior,,thin,Real Salmon & Potato GF,Real Chicken & Potato GF,Real Chicken GF,Real Trout & Brown Rice,Real Turkey & Barley,Real Whitefish & Brown Rice ,Real Turkey & Oatmeal  ,,,,
senior|normal,senior,,normal,Real Salmon & Potato GF,Real Chicken & Potato GF,Real Chicken GF,Real Trout & Brown Rice,Real Turkey & Barley,Real Whitefish & Brown Rice ,Real Turkey & Oatmeal  ,,,,
senior|overweight,senior,,overweight,Real Salmon & Potato GF,Real Chicken & Potato GF,Real Chicken GF,Real Trout & Brown Rice,Real Turkey & Barley,Real Whitefish & Brown Rice ,Real Turkey & Oatmeal  ,,,,
