Profile Key,Age,Fish allergy,Weight,Food Preference,Recommend 1,Recommend 2,Recommend 3,Recommend 4,Recommend 5,Recommend 6,Recommend 7,Recommend 8,Recommend 9,Recommend 10,Recommend 11
kitten|fishallergy|thin|pate,kitten,fishallergy,thin,pate,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,,,,,,,
kitten|fishallergy|thin|morsals,kitten,fishallergy,thin,morsals,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,,,
kitten|fishallergy|thin|nopref,kitten,fishallergy,thin,nopref,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,
kitten|fishallergy|normal|pate,kitten,fishallergy,normal,pate,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,,,,,,,
kitten|fishallergy|normal|morsals,kitten,fishallergy,normal,morsals,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,,,
kitten|fishallergy|normal|nopref,kitten,fishallergy,normal,nopref,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,
kitten|fishallergy|overweight|pate,kitten,fishallergy,overweight,pate,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,,,,,,,
kitten|fishallergy|overweight|morsals,kitten,fishallergy,overweight,morsals,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,,,
kitten|fishallergy|overweight|nopref,kitten,fishallergy,overweight,nopref,Real Chicken & Potato GF,Real Turkey & Oatmeal  ,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,
kitten|thin|pate,kitten,,thin,pate,Real Chicken GF,Real Salmon & Potato GF,Real Chicken & Potato GF,Real Chicken & Turkey Entree - pate,Real Lamb & Turkey Entree - pate,,,,,,
kitten|thin|morsals,kitten,,thin,morsals,Real Chicken GF,Real Salmon & Potato GF,Real Chicken & Potato GF,Real Turkey & Chicken Entree - morsals,Real Lamb & Turkey Entree - morsals,,,,,,
